question,answer
54 + 45 - 33,66
34 * (41 + 19),2040
56 + 72 + 76,204
75 + 0 - 33,42
16 + 43 * 74,3198
31 - 1 - 15,15
22 - 13 * 84,-1070
70 - 82 - 99,-111
32 + 3 * 89,299
7 * 33 * 40,9240
91 * 67 * 42,256074
98 * (12 + 26),3724
58 + 92 * 39,3646
64 * 62 * 78,309504
(28 + 45) * 7,511
63 + 9 + 31,103
57 * 73 + 65,4226
32 + 66 * 64,4256
(1 + 58) * 9,531
73 - 75 * 97,-7202
1 - 35 * 85,-2974
62 * 3 * 32,5952
7 + 81 - 96,-8
73 * (99 + 90),13797
60 + 2 - 13,49
13 * (29 + 62),1183
89 * 4 * 82,29192
42 - 7 - 88,-53
(13 + 40) * 47,2491
56 - 2 - 60,-6
73 - 68 - 98,-93
26 + 9 - 86,-51
32 + 15 + 84,131
8 + 38 * 37,1414
49 * 81 + 98,4067
16 - 21 * 51,-1055
31 * 61 + 11,1902
74 + 62 * 74,4662
68 + 80 + 66,214
56 - 19 - 92,-55
40 + 51 + 31,122
51 + 83 - 47,87
14 * (49 + 95),2016
40 + 18 + 73,131
38 + 32 + 27,97
45 + 7 - 57,-5
97 - 22 * 13,-189
23 - 85 - 9,-71
35 + 88 + 13,136
34 + 69 * 44,3070
66 + 60 * 54,3306
49 + 16 * 40,689
2 + 4 - 4,2
65 - 53 - 99,-87
17 + 35 * 50,1767
44 + 70 - 59,55
4 * 49 + 0,196
47 * 17 + 40,839
47 + 90 * 44,4007
11 * 9 * 39,3861
99 * (51 + 83),13266
55 * 97 * 82,437470
(15 + 0) * 40,600
(19 + 17) * 95,3420
(68 + 43) * 98,10878
(59 + 72) * 60,7860
7 * (97 + 18),805
89 + 25 - 67,47
7 - 28 * 24,-665
6 * 54 + 62,386
32 * 1 * 98,3136
17 * (93 + 88),3077
84 - 76 * 14,-980
72 * (38 + 97),9720
(90 + 74) * 78,12792
36 * 96 + 89,3545
21 + 84 - 32,73
48 + 97 - 62,83
74 + 34 * 89,3100
24 + 35 + 73,132
64 - 51 * 81,-4067
80 * (86 + 53),11120
5 - 76 * 32,-2427
52 * 70 * 91,331240
55 - 13 - 88,-46
63 + 68 + 58,189
45 * 86 * 11,42570
54 + 67 - 47,74
75 + 62 + 16,153
15 - 25 * 44,-1085
97 + 31 * 67,2174
(92 + 41) * 52,6916
19 + 97 + 58,174
87 - 27 * 15,-318
12 - 58 - 27,-73
2 + 16 + 90,108
61 * (67 + 84),9211
63 - 16 * 58,-865
56 + 59 + 87,202
38 + 63 + 11,112
85 - 94 * 5,-385
27 - 63 * 70,-4383
10 * (0 + 93),930
62 + 94 - 96,60
(61 + 81) * 83,11786
68 * (26 + 98),8432
22 + 4 - 40,-14
76 * 57 * 40,173280
88 - 65 - 88,-65
83 * 30 + 22,2512
47 - 4 * 15,-13
85 + 16 * 53,933
10 + 3 - 25,-12
80 * (90 + 17),8560
63 + 20 - 51,32
72 - 57 - 7,8
(20 + 9) * 35,1015
0 * (42 + 47),0
92 * (19 + 69),8096
35 * 76 * 34,90440
42 - 86 * 93,-7956
(98 + 75) * 68,11764
48 + 31 - 52,27
64 * (13 + 74),5568
29 * 0 + 73,73
84 * 69 + 1,5797
(0 + 11) * 18,198
39 + 78 * 8,663
32 * 75 + 43,2443
94 * (22 + 80),9588
71 + 79 - 30,120
55 - 81 * 14,-1079
53 + 16 + 31,100
93 + 49 * 33,1710
31 - 81 - 99,-149
12 + 7 * 60,432
64 - 23 * 96,-2144
38 * 25 * 78,74100
(28 + 44) * 2,144
75 - 88 - 42,-55
39 - 40 - 70,-71
25 * 18 * 31,13950
99 + 80 - 62,117
93 * 19 * 48,84816
28 - 13 * 2,2
60 - 24 * 69,-1596
85 * 37 * 83,261035
59 - 50 * 25,-1191
(47 + 69) * 34,3944
48 * 57 + 45,2781
29 * (22 + 82),3016
15 + 95 + 36,146
(75 + 65) * 12,1680
50 + 23 + 81,154
40 - 47 - 17,-24
97 - 25 * 90,-2153
69 + 65 * 24,1629
51 - 87 - 58,-94
48 - 88 - 17,-57
47 * (44 + 79),5781
60 - 21 - 93,-54
16 * 16 * 58,14848
27 - 22 - 0,5
16 + 8 + 20,44
78 + 89 * 40,3638
5 - 80 * 24,-1915
91 - 49 - 53,-11
80 * 71 * 71,403280
68 * 23 * 5,7820
95 * (59 + 46),9975
37 * 24 * 11,9768
31 + 53 - 33,51
8 * 1 + 47,55
41 + 33 - 77,-3
99 + 29 * 18,621
41 - 75 * 68,-5059
75 * 46 * 61,210450
31 * (52 + 74),3906
5 * 62 + 6,316
40 + 56 - 4,92
(93 + 60) * 33,5049
56 * (1 + 2),168
31 - 60 - 63,-92
61 + 64 * 47,3069
78 + 8 * 7,134
53 * 27 * 77,110187
62 * (50 + 10),3720
2 + 20 + 22,44
54 + 36 * 97,3546
49 * 60 * 76,223440
44 - 93 - 1,-50
28 - 19 - 75,-66
46 + 52 + 99,197
98 + 8 * 82,754
78 * (31 + 34),5070
29 * 21 * 83,50547
30 + 20 + 72,122
70 + 92 * 54,5038
6 - 81 * 75,-6069
85 * 97 + 51,8296
73 + 86 + 3,162
25 * 44 + 71,1171
72 * 23 + 11,1667
66 - 65 - 68,-67
88 + 74 * 12,976
31 - 41 - 95,-105
48 - 95 - 41,-88
88 + 5 - 66,27
73 - 46 * 93,-4205
16 * 82 + 33,1345
34 - 72 - 77,-115
23 * (88 + 13),2323
12 + 26 + 8,46
85 + 78 - 20,143
58 + 29 * 54,1624
55 * (21 + 20),2255
36 + 86 * 26,2272
29 + 25 * 31,804
62 + 7 - 11,58
48 * 1 + 49,97
5 - 89 * 18,-1597
46 - 2 * 4,38
44 - 39 - 58,-53
11 - 87 * 49,-4252
49 * 45 + 71,2276
35 * 73 + 40,2595
85 * (85 + 4),7565
48 - 71 * 85,-5987
55 - 37 - 28,-10
0 + 35 + 90,125
84 + 91 - 14,161
17 + 93 + 82,192
66 * (32 + 25),3762
11 - 7 * 55,-374
88 * 96 + 73,8521
79 + 40 - 95,24
(93 + 98) * 89,16999
66 + 48 * 56,2754
22 * (84 + 36),2640
78 + 28 + 0,106
0 + 69 * 62,4278
(70 + 78) * 91,13468
43 - 96 * 62,-5909
(50 + 21) * 28,1988
(52 + 19) * 60,4260
53 * 84 * 22,97944
59 + 84 + 18,161
(99 + 94) * 54,10422
88 * 56 * 8,39424
50 - 92 * 12,-1054
49 - 6 * 57,-293
44 + 62 - 26,80
92 - 33 * 84,-2680
24 + 0 - 16,8
64 * (50 + 22),4608
89 * 65 + 44,5829
(54 + 47) * 86,8686
53 * (32 + 48),4240
29 + 48 + 55,132
18 * 41 * 15,11070
74 * (99 + 13),8288
5 + 32 - 1,36
33 + 29 + 34,96
36 - 26 * 56,-1420
81 * 51 * 9,37179
74 * 94 * 32,222592
81 + 31 + 2,114
65 + 61 - 38,88
(19 + 93) * 21,2352
27 * 34 * 13,11934
37 * (26 + 1),999
38 * (74 + 73),5586
9 + 71 * 80,5689
12 + 58 * 20,1172
46 - 99 * 41,-4013
41 * (55 + 88),5863
83 * 54 + 95,4577
52 + 66 - 21,97
32 - 79 * 24,-1864
47 - 70 * 29,-1983
71 + 39 * 35,1436
(90 + 13) * 2,206
68 + 78 + 74,220
(65 + 52) * 70,8190
32 + 33 - 61,4
84 - 94 - 11,-21
4 - 93 * 76,-7064
92 - 52 * 49,-2456
88 + 56 + 74,218
32 + 31 * 71,2233
58 * 10 * 91,52780
53 - 4 * 61,-191
14 - 27 * 68,-1822
37 * (96 + 59),5735
60 - 83 - 51,-74
20 * 66 * 17,22440
60 * 24 * 0,0
53 * 96 * 41,208608
69 + 45 * 17,834
19 - 71 * 22,-1543
7 + 23 - 4,26
60 * 34 * 48,97920
99 * 8 * 92,72864
69 * 19 * 14,18354
1 + 98 * 81,7939
54 - 56 * 22,-1178
2 + 9 * 86,776
99 * 14 + 29,1415
(71 + 52) * 70,8610
46 * 14 * 4,2576
40 + 93 - 83,50
37 + 71 * 59,4226
20 + 59 - 73,6
16 + 98 + 11,125
17 * 40 * 53,36040
88 * 5 * 50,22000
24 + 43 - 30,37
59 - 56 - 37,-34
88 * (51 + 2),4664
37 + 2 * 48,133
(21 + 35) * 33,1848
59 * (26 + 53),4661
90 + 25 - 0,115
76 + 98 - 95,79
3 * 24 + 49,121
66 * (3 + 86),5874
60 * 23 + 54,1434
38 * (23 + 0),874
(41 + 90) * 60,7860
8 - 25 * 24,-592
80 - 84 - 11,-15
20 + 39 - 11,48
87 + 51 + 98,236
91 + 76 - 7,160
(50 + 63) * 50,5650
(48 + 67) * 39,4485
57 - 35 - 86,-64
56 * (19 + 99),6608
4 + 34 + 72,110
37 * (60 + 84),5328
(74 + 37) * 94,10434
62 + 71 + 49,182
56 * 72 * 60,241920
69 + 49 * 19,1000
61 + 45 - 20,86
84 + 90 + 97,271
74 + 47 + 82,203
35 + 48 - 56,27
44 - 66 - 22,-44
91 - 15 * 8,-29
76 + 95 * 86,8246
81 + 62 + 92,235
77 + 11 + 85,173
94 * 60 + 85,5725
17 + 13 - 70,-40
62 + 26 + 61,149
35 * 33 * 50,57750
72 + 7 + 65,144
(94 + 86) * 13,2340
83 - 42 - 47,-6
89 * (21 + 8),2581
93 + 87 + 6,186
(16 + 10) * 22,572
37 * 24 + 87,975
79 * 47 * 19,70547
83 * 13 + 48,1127
10 - 67 * 22,-1464
11 - 44 * 29,-1265
7 + 9 + 22,38
(17 + 11) * 59,1652
58 + 0 + 49,107
15 - 55 * 55,-3010
63 * 40 + 64,2584
94 + 11 + 7,112
6 - 25 * 14,-344
5 + 92 - 6,91
60 * 80 * 21,100800
96 * 93 * 38,339264
10 + 94 * 67,6308
38 - 78 * 30,-2302
24 * 46 + 98,1202
47 + 14 - 95,-34
93 + 74 + 67,234
(93 + 61) * 50,7700
30 + 22 - 11,41
30 * 79 + 20,2390
(22 + 0) * 61,1342
96 * (10 + 34),4224
(7 + 72) * 56,4424
4 * 18 + 90,162
86 * 70 + 5,6025
64 + 91 - 45,110
94 * 61 * 94,538996
51 * 7 * 64,22848
(69 + 53) * 20,2440
12 - 8 - 24,-20
80 * 52 * 86,357760
64 + 63 + 53,180
91 + 10 + 13,114
44 * 38 + 37,1709
19 - 13 * 58,-735
10 - 27 - 61,-78
33 - 29 - 25,-21
25 * 41 * 54,55350
33 * (16 + 44),1980
62 * (36 + 59),5890
51 - 42 - 66,-57
7 * (18 + 21),273
52 - 47 - 44,-39
7 - 45 * 26,-1163
(77 + 22) * 98,9702
76 * 72 + 38,5510
60 + 86 * 68,5908
53 + 82 - 5,130
4 + 7 * 71,501
(9 + 39) * 98,4704
79 * 49 * 22,85162
51 + 14 * 98,1423
(71 + 33) * 26,2704
97 - 22 * 57,-1157
19 - 74 * 30,-2201
83 * 98 + 55,8189
67 + 12 * 45,607
(60 + 18) * 72,5616
35 - 47 - 55,-67
37 + 56 - 73,20
20 + 31 + 83,134
77 - 11 - 69,-3
(82 + 61) * 33,4719
1 + 74 * 97,7179
11 + 18 - 88,-59
(47 + 35) * 66,5412
5 + 94 - 8,91
39 + 35 * 55,1964
(32 + 66) * 28,2744
81 - 22 * 41,-821
12 * 55 + 56,716
88 + 14 + 74,176
(93 + 19) * 86,9632
58 - 24 * 5,-62
44 * (57 + 3),2640
76 + 12 - 76,12
28 * (13 + 14),756
65 - 31 * 23,-648
32 * 44 + 29,1437
62 * 73 + 60,4586
99 + 58 + 43,200
38 * 38 + 2,1446
60 + 3 * 67,261
45 * 35 + 85,1660
65 * 91 * 43,254345
45 * 18 + 36,846
74 * 99 * 31,227106
96 + 21 + 74,191
99 + 26 + 23,148
24 * (69 + 49),2832
49 - 46 * 42,-1883
75 + 78 - 83,70
(5 + 90) * 93,8835
62 * (76 + 5),5022
39 - 54 - 65,-80
88 * 22 * 88,170368
61 + 95 - 11,145
(53 + 61) * 11,1254
75 - 24 - 6,45
23 * (8 + 10),414
37 + 89 + 47,173
98 + 1 + 60,159
70 * 82 * 73,419020
75 + 44 + 31,150
12 + 20 * 26,532
69 + 65 * 32,2149
19 + 41 - 81,-21
72 * (4 + 47),3672
(25 + 99) * 21,2604
22 * 39 + 82,940
99 + 25 * 36,999
58 + 54 + 61,173
97 - 27 - 23,47
38 * 34 * 34,43928
82 * 94 + 5,7713
23 - 3 * 91,-250
84 * 19 * 95,151620
81 * 23 * 60,111780
70 + 3 + 60,133
69 + 50 - 90,29
18 * 45 * 13,10530
89 * (0 + 80),7120
95 - 13 - 32,50
57 + 1 - 72,-14
(5 + 63) * 57,3876
10 - 80 * 24,-1910
27 * (56 + 67),3321
18 + 4 * 58,250
13 - 18 - 85,-90
98 * 90 + 84,8904
37 + 45 * 71,3232
78 + 24 - 79,23
34 * 87 + 72,3030
30 * 96 * 28,80640
98 * (97 + 46),14014
67 + 5 + 6,78
(11 + 66) * 96,7392
1 + 80 + 72,153
89 - 68 - 27,-6
72 + 70 * 33,2382
(56 + 96) * 95,14440
48 + 8 - 29,27
74 + 14 + 15,103
99 * 25 + 55,2530
75 + 91 - 62,104
16 + 82 * 61,5018
75 + 71 * 65,4690
44 * 90 * 79,312840
34 + 49 * 60,2974
33 * 13 + 55,484
55 + 96 + 3,154
67 + 55 * 98,5457
5 * (60 + 26),430
74 * 69 * 22,112332
99 + 38 + 81,218
94 + 39 * 23,991
88 - 12 - 24,52
0 + 25 + 10,35
5 - 1 * 39,-34
40 + 12 + 89,141
5 + 99 + 81,185
42 * 88 * 52,192192
34 * 25 + 55,905
7 + 65 * 75,4882
46 * 88 * 35,141680
32 * 36 * 46,52992
31 - 31 - 21,-21
76 - 73 * 67,-4815
(51 + 92) * 17,2431
30 + 33 * 77,2571
81 - 85 * 20,-1619
41 * 70 + 28,2898
75 * 21 + 56,1631
61 + 75 * 8,661
81 * (49 + 88),11097
80 - 24 * 50,-1120
61 + 17 - 86,-8
(38 + 75) * 74,8362
10 - 83 * 27,-2231
36 * 5 + 86,266
30 * (5 + 36),1230
72 * 39 * 26,73008
50 * (88 + 42),6500
74 * 15 * 86,95460
76 - 61 - 67,-52
55 + 20 * 8,215
70 + 56 - 9,117
81 * 39 + 97,3256
71 * (95 + 69),11644
21 - 96 - 83,-158
13 + 72 + 44,129
91 + 25 - 71,45
38 * 12 * 58,26448
59 - 92 - 56,-89
64 + 41 * 28,1212
45 - 81 - 89,-125
72 + 62 * 59,3730
92 + 73 + 48,213
12 + 75 * 32,2412
13 + 21 + 37,71
69 + 12 * 82,1053
54 + 91 + 27,172
98 + 22 * 93,2144
57 + 73 + 17,147
94 * 60 * 14,78960
51 - 75 - 45,-69
14 + 15 * 93,1409
39 * 37 * 62,89466
59 + 56 + 60,175
65 * 86 + 80,5670
15 - 42 * 73,-3051
90 + 12 + 38,140
46 + 52 - 73,25
98 - 26 * 51,-1228
62 + 70 + 6,138
(79 + 99) * 21,3738
7 * 40 * 43,12040
98 * 57 * 15,83790
69 * 91 + 64,6343
72 * (65 + 33),7056
53 + 96 + 62,211
11 + 68 + 26,105
64 - 45 - 20,-1
(38 + 53) * 53,4823
(51 + 55) * 59,6254
24 - 74 - 67,-117
14 + 88 - 19,83
81 - 39 - 8,34
15 * 30 * 36,16200
15 * 34 + 8,518
52 * (74 + 55),6708
18 - 12 - 93,-87
80 + 76 + 36,192
85 + 34 - 97,22
11 + 90 * 6,551
81 - 42 - 76,-37
18 - 21 * 73,-1515
66 - 30 - 31,5
16 + 8 + 33,57
80 + 4 * 19,156
(90 + 30) * 24,2880
(86 + 73) * 55,8745
62 + 19 + 19,100
33 * 28 * 50,46200
97 + 29 * 9,358
47 * 44 + 61,2129
16 * 60 * 16,15360
(8 + 91) * 82,8118
88 - 70 - 65,-47
13 + 87 + 1,101
33 + 95 * 88,8393
2 * 42 + 31,115
(58 + 21) * 58,4582
23 * 13 * 82,24518
75 + 98 + 41,214
44 * 42 * 94,173712
17 + 53 + 94,164
59 + 38 * 7,325
(8 + 71) * 63,4977
8 * 64 + 24,536
15 - 72 * 42,-3009
82 + 7 - 50,39
95 - 4 * 39,-61
53 + 31 + 51,135
16 + 46 - 16,46
75 * 72 * 94,507600
45 + 78 - 7,116
41 + 81 - 19,103
29 + 34 * 16,573
36 + 96 + 89,221
(99 + 96) * 63,12285
54 + 69 - 17,106
57 + 93 * 17,1638
72 - 42 * 83,-3414
22 + 71 + 82,175
74 + 28 + 9,111
49 * 44 + 35,2191
31 * (22 + 14),1116
57 - 94 - 34,-71
96 * (83 + 20),9888
91 + 95 - 63,123
88 - 89 - 60,-61
7 + 16 * 92,1479
32 - 9 - 36,-13
32 * 89 * 1,2848
73 + 26 + 25,124
41 + 0 + 15,56
27 - 85 - 31,-89
(18 + 40) * 34,1972
51 * 2 + 54,156
(56 + 84) * 76,10640
6 + 56 + 4,66
(64 + 70) * 24,3216
60 - 0 * 36,60
(51 + 28) * 76,6004
89 - 46 * 88,-3959
(58 + 75) * 18,2394
8 * 23 * 9,1656
15 * 46 + 56,746
0 - 33 - 99,-132
49 + 0 * 86,49
1 + 61 + 30,92
25 - 53 * 46,-2413
96 + 61 - 62,95
98 * (7 + 99),10388
77 + 80 * 57,4637
33 + 22 + 62,117
66 - 88 - 19,-41
59 * 84 + 11,4967
82 - 2 * 44,-6
78 * (69 + 28),7566
39 - 25 - 61,-47
89 * 56 * 75,373800
40 * 13 + 29,549
0 * 61 * 98,0
68 - 0 - 11,57
20 + 53 - 67,6
54 + 0 + 10,64
38 * (66 + 98),6232
62 - 34 - 52,-24
84 * (27 + 4),2604
56 + 47 + 30,133
11 * 31 + 32,373
69 - 13 - 13,43
3 + 50 + 16,69
56 + 61 * 39,2435
78 * 28 + 89,2273
25 * 3 * 42,3150
65 + 20 - 91,-6
(35 + 65) * 91,9100
35 * 98 * 19,65170
96 + 57 + 97,250
68 * 8 * 95,51680
5 + 42 * 67,2819
86 * 77 * 44,291368
2 + 12 + 63,77
96 * 75 * 67,482400
73 + 39 - 58,54
(40 + 45) * 88,7480
(20 + 28) * 93,4464
18 + 5 * 60,318
32 + 5 - 23,14
42 + 78 - 33,87
57 + 85 + 71,213
29 * (11 + 23),986
31 - 22 - 49,-40
54 + 52 - 84,22
32 - 51 * 97,-4915
(0 + 30) * 80,2400
31 - 65 * 80,-5169
73 * 34 + 29,2511
57 + 30 - 51,36
4 * (30 + 7),148
67 - 86 * 16,-1309
70 + 81 - 26,125
6 + 26 + 35,67
20 * (19 + 7),520
41 + 68 * 53,3645
39 - 78 * 43,-3315
59 * 25 + 60,1535
38 + 60 * 6,398
18 - 27 * 35,-927
99 - 67 * 50,-3251
96 + 96 - 21,171
32 * (81 + 73),4928
32 + 1 + 62,95
2 - 52 - 80,-130
45 - 85 * 0,45
(93 + 54) * 8,1176
13 + 2 * 12,37
85 + 73 - 69,89
83 - 60 - 50,-27
24 * (38 + 31),1656
51 + 4 + 51,106
21 * (24 + 25),1029
(37 + 0) * 61,2257
28 * 72 + 44,2060
67 * 27 + 72,1881
9 * (0 + 18),162
4 - 13 * 17,-217
76 * (12 + 69),6156
11 + 58 - 98,-29
86 - 60 * 76,-4474
29 * 22 + 38,676
96 * (49 + 58),10272
73 - 8 - 64,1
37 + 63 + 83,183
27 * 94 + 5,2543
55 + 43 - 90,8
68 * (26 + 66),6256
81 * 55 * 28,124740
27 - 55 - 58,-86
80 - 27 - 76,-23
16 + 92 + 47,155
4 * 29 * 39,4524
73 + 81 * 36,2989
96 + 8 - 87,17
30 + 71 + 74,175
43 + 77 + 86,206
72 - 95 * 92,-8668
(28 + 69) * 62,6014
90 + 70 + 58,218
42 * 9 * 7,2646
71 - 78 - 5,-12
43 * 78 * 14,46956
76 - 81 * 21,-1625
31 - 92 * 43,-3925
84 * (89 + 2),7644
76 + 27 - 89,14
